Id|ValidatorId|ValidatorTypeId|Revision|MinLimit|MaxLimit|QuestionId|Voided
b260c818-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b2603772-852f-11e7-bb31-be2e44b06b34|0
b260c96c-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b26039a2-852f-11e7-bb31-be2e44b06b34|0
b260cab6-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b2603c5e-852f-11e7-bb31-be2e44b06b34|0
b260cd9a-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b2603dc6-852f-11e7-bb31-be2e44b06b34|0
b260cf0c-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b260401e-852f-11e7-bb31-be2e44b06b34|0
b260d060-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b260417c-852f-11e7-bb31-be2e44b06b34|0
b260edd4-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b2605f54-852f-11e7-bb31-be2e44b06b34|0
b260ef64-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b26060bc-852f-11e7-bb31-be2e44b06b34|0
b260f0b8-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b26062e2-852f-11e7-bb31-be2e44b06b34|0
b260f4d2-852f-11e7-bb31-be2e44b06b34|Required|None|0|||b260665c-852f-11e7-bb31-be2e44b06b34|0
b260f626-852f-11e7-bb31-be2e44b06b34|Range|Numeric|0|1||b26039a2-852f-11e7-bb31-be2e44b06b34|0
